片名：功夫熊猫  KUNG FU PANDA
传说中有位传奇大侠  Legend tells of a legendary warrior...
他的传奇功夫出神入化  whose kung fu skills were the stuff of legend
他云游四方，寻找比得上他的对手  He traveled the land in search of worthy foes.
我看你还挺爱吃，有本事吃我一拳！  I see you like to chew.Maybe you should chew on my fist!
大侠沉默片刻，因为嘴里还塞满吃的  The warrior said nothing for his mouth was full.
等他咽了下去，就开口了  Then he swallowed. And then he spoke.
少说废话，出手吧！  Enough talk. Let's fight!
拿命来！  Shashabooey!
他的招式凶猛炫丽  He was so deadly in fact,
敌人看多了炫招都能双目失明！  that his enemies would go blind from overexposure to pure awesomeness.
我看不见了！ 他太炫了！  My eyes! He's too awesome!
也好帅啊 我们该如何报答你？  And attractive How can we repay you?
凶猛帅气本是天生  There is no charge for awesomeness.
不求回报！  Or attractiveness.
小宇宙爆发！  Kablooey!
不管面对多少敌人  It mattered not how many foes he faced.
他们全都不是对手  They were no match for his bodacity!
从没有熊猫这样被人惧怕，又被人喜爱  Never before had a panda been so feared! And so loved.
就连中国的盖世英雄  Even the most heroic heroes in China,
虎胆五侠  the Furious Five,
也拜倒在绝世大师之下  bowed in respect to this great master.
咱们乐乐去？  We should hang out.
正合我意  Agreed.
可休闲时间得等等了  But hanging out would have to wait.
因为当面对恶魔山的一万大军时  Because when you're facing the 10,000 demons of Demon Mountain
只有一件事情最重要，那就是…  there's only one thing that matters and that's...
阿宝！起床了！  Po! Get up!
要赶不上干活了！  You'll be later for work!
啥？？  What?
阿宝！起床了  Po! Get up!
阿宝，你在那儿折腾啥呢？  Po. What are you doing up there?
没什么  Nothing.
金猴！螳螂！仙鹤！灵蛇！娇虎！  Monkey! Mantis! Crane! Viper! Tigress!
阿宝！快过来！都已经开工了  Po! Let's go! You're late for work.
就来！  Coming!
抱歉，老爸  Sorry, Dad.
光说抱歉可做不了面条  Sorry doesn't make the noodles.
你在上面干什么着？那么多动静  What were you doing up there? All that noise.
没啥，就是做了个怪梦  Nothing. I just had a crazy dream.
什么梦？  About what?
梦见什么了？  What were you dreaming about?
梦见什么？  What was I?
我梦见了…  I was dreaming about...
面条  ...noodles.
面条？你真的梦见面条了？  Noodles? You were really dreaming about noodles?
是啊，我还能梦见啥  Yeah. What else would I be dreaming about?
小心！那汤…扎嘴  Careful! That soup is sharp.
今天真吉利！  Oh, happy day!
我儿子总算梦到面条了！  My son, finally having the noodle dream!
你不知道我等这等了多久了  You don't know how long I've been waiting for this moment
这是个好兆头，阿宝  This is a sign, Po.
什么兆头？  A sign of what?
你就快准备好继承咱家的…  You are almost ready to be entrusted with the secret ingredient
秘方鲜汤的秘方了！  of my Secret Ingredient Soup.
然后你就能履行使命，继承面馆！  Then you will fulfill your destiny and take over the restaurant!
就像我从父亲手里接过来 他从我爷爷手里接过来  As I took it over from my father who took it over from his father
我爷爷跟朋友打麻将赢下来  ...who won it from a friend in mahjong.
爸爸，爸爸，这不过是个梦啊  Dad, Dad, Dad, it was just a dream.
不，这可是远大梦想  No, it was the dream.
我们是做面条的，血脉里流淌着汤汁  We are noodle folk Broth runs through our veins
可爸爸，你就没想过做点别的？  But Dad didn't you ever want to do something else?
除了面条之类的？  Something besides noodles?
其实我年少轻狂时  Actually, when I was young and crazy,
曾经想过逃跑，去学做豆腐  I thought about running away and learning how to make tofu
那怎么没去？  Why didn't you?
因为这是痴人说梦！  Because it was a stupid dream.
你能想象我做豆腐啥样？  Can you imagine me making tofu?
豆腐…  Tofu.
不，咱们在世上都有自己的位置  No! We all have our place in this world.
我的是在这儿，你的…  Mine is here, and yours is...
我知道，也是这儿  I know, is here.
不，是2号5号12号桌  No, it's at tables 2, 5, 7, and 12
记得要微笑服务  Service with a smile.
干得不错徒弟们，要是你们想要让我失望的话  Well done students if you were trying to disappoint me
娇虎你不够凶猛，金猴你不够快  Tigress, you need more ferocity!Monkey, greater speed.
仙鹤飞得不够高，灵蛇不够敏捷，螳螂…  Crane height Viper subtlety Mantis...
功夫大师 什么？！  Master Shifu. What?!
是乌龟大师，他想见你  It's Master Oogway. He wants to see you.
乌龟大师，你想见我？有什么事吗  Master Oogway, you summoned me?Is something wrong?
想见老朋友非要有事吗？  Why must something be wrong for me to want to see my old friend?
那就是没事了？  So, nothing's wrong?
我也没这么说  Well, I didn't say that.
您的意思是？  You were saying?
我有一个预感  I have had a vision.
大龙会杀回来  Tai Lung will return.
这不可能，他还在大牢里  That is impossible! He is in prison.
一切皆有可能  Nothing is impossible.
小善！  Zeng!
快飞去昌高监狱告诉他们  Fly to Chorh  Gom prison and tell them
兵力加倍！武器加倍！能加倍的都加倍  to double the guards double their weapons, double everything!
不能让大龙逃出来！  Tai Lung does not leave that prison!
是，师傅！  Yes, Master Shifu!
逆天行命，反促因果  One often meets his destiny on the road he takes to avoid it
可我们总得做点什么！不能让他杀回来…  We must do something! We can't let him march on the valley, take his revenge!
他会…  He'll...
心如池水，老朋友  Your mind is like this water my friend.
随风乍起，自然不易明辨  When it is agitated it becomes difficult to see
而若水波不兴  But if you allow it to settle...
自然心静则明  ...the answer becomes clear.
神龙秘籍  The Dragon Scroll.
是时候了  It is time.
可选谁呢？能把这无限神功托付给谁呢？  But who? Who is worthy to be trusted with the secret to limitless power?
谁能成为…神龙大侠？  To become the Dragon Warrior?
我也不知道  I don't know.
不好意思，抱歉  Excuse me. Pardon me. Sorry.
阿宝看着点！  Watch it!
不好意思，收腹！  Sorry. Suck it up!
万分抱歉！  Sorry. A thousand pardons.
什么？  What?
（虎胆五侠 五时开始）  (The Notice)
乌龟大师要选神龙大侠！就今天！  Master Oogway's choosing the Dragon Warrior! Today!
大伙们，快去翡翠宫！虎胆五侠里会有人拿到神龙秘籍！  Everyone! Get to the Jade Palace! One of the Five is gonna get the Dragon Scroll!
千年等一回啊！带着碗去！  We've waited 1000 years for this! Take the bowl!
这可是功夫史上的大事，快去！  This is the greatest day in kung fu history! Just go!
