霍顿与无名氏
耶!  Yeah!
五月十五这一天在丛林里的某个角落  On the 15th of May, in the jungle of Nool,
夏日炎炎，在清凉的水池里  in the heat of the day,in the cool of the pool,
大象霍顿正在玩水 享受丛林生活最棒的时刻  he was splashing,enjoying the jungle's great joys,
这时他突然听到一个细微的声音  when Horton the Elephant heard a small noise.
霍顿!  霍顿!  Horton!   Horton!
早，同学们，准备上课了？  Good morning, class. Are you ready?
对!  那就上来吧!  Yeah!   Jump on board!
下面的注意啰!  Look out below!
汤米上来了，凯蒂，你呢？  Tommy's on board. Katie, you there?
很好  Okay.
就是那个  There it is.
这是丛林里最奇特的生物之一 拟叶虫  This is one of the jungle's most amazing creatures, the leaf bug.
为了让自己不被掠食者嗑掉 它们会伪装成一片片的叶子  In order to protect itself from predators,it disguises itself as a leaf.
这个小家伙有点固执 来吧，小家伙  This one's got quite a grip.Come on, little buddy.
别害羞嘛  Don't be shy.
我想我可能弄错了  I guess I was mistaken, kids.
很明显地，这里根本没有拟叶虫  There are obviously no leaf bugs in this area. Even if...
它们在我身上!  No, they're on me!
我好像吸到一只了!  I think I swallowed one!
汤米!把它抓出来!  Tommy! Pull it out!
好吧  Uh, okay.
哼哼叫的是只坏脾气的袋鼠  Then humpfing a '"humpf'"was a sour Kangaroo,
她自以为自己无所不知  the type who's convinced she knows better than you.
她制订规矩也执行法律  She made every law and enforced every rule
以努尔森林的领导者自居  as self  proclaimed head of the jungle of Nool.
为什么我不能和其他小孩玩？  Why can't I play with the other kids, Mom?
我说过，在丛林里  How many times have I told you that
言行绝不能像只野生动物  the jungle is no place to act like a wild animal.
那个叫霍顿的还真是个怪胎  My, that Horton certainly is eccentric.
孩子们从他身上学到很多东西  And the children are learning so much from him.
学会怎么变成一群愚蠢的笨蛋!  Learning to be a bunch of harebrained half  wits!
所以我的小袋鼠都由我亲自教育  And that's why my Rudy is pouch  schooled.
就在袋鼠妈妈冷嘲热讽的时候…  So while Kangaroo stood there,sneering a sneer...
霍顿，今天真是太精采了!  Horton, that was the best time I've ever had in my life!
你下次要带我们看什么？  What are you gonna show us next?
…那粒小灰尘再度飞过霍顿的耳旁  ...once again, the speck floated right by Horton's ear.
他又听到一个极为细小的声音  Then he heard it again,just a very faint yelp,
听来像是个很小的生物在求救  as if some tiny person were calling for help.
你知道他怎么想吗？  And you know what he thought?
他认为在那一粒小小的微尘上  Why, he thought that there must be someone
一定有人!  on top of that small speck of dust!
或许是一家人，很有可能  Or even a family, it just might be so,
一个有几个孩子要养的家庭  a family with children just starting to grow.
我想活下去!  I want to live!
我先闪 了，凯蒂，换你接手!  I gotta go. Katie, you're in charge!
等一等!  Wait!
回来!  小心点!  Come back!   Watch it!
再一根!再一根!再一根!  One more! One more! One more!
我听见有人靠近!  香蕉给我!  I hear someone coming! Give me those!
等一等! 快拉警报!  Wait! Sound the alarm!
原谅我的大象腿!  Excuse me. Pardon my stampede!
抱歉，猴子家族 我等一下会来帮忙整理!  Sorry, Wickershams! I promise I'm gonna clean all this up later!
把弹药拿来!  Bring the ammo!
早晨的香蕉味让我心旷神怡  I love the smell of bananas in the morning.
香蕉炸弹发射!  Banana in the hole!
别这样!我们都是哺乳类耶!  Come on, guys! We're all mammals!
我想外交策略完全没用  I feel the diplomatic process is beginning to break down.
你在这里，我接住你了!  There you are! I got you!
你好，孩子们  Hi, kids!
好险  Wow.
好了  There.
这下你安全了  Now you're safe.
我确定我听到你说了些什么 我很确定  I know I heard you say something.I just know it.
你在哪里？  Where are you?
霍顿!  Horton!
对不起  Sorry!
都是这粒小灰尘啦!它向我求救  I just... There was this speck,and it called out for help.
我就…这粒小灰尘向你求救？  And I was... The speck called out for help?
不是灰尘在求救啦，那太扯了  Well, not the speck.I mean, that's ridiculous.
你以为我是那个意思喔？灰尘怎么可能会求救  Is that what you thought I meant?No the speck can't call out for help.
拜托，别闹了  Come on, get real.
是灰尘上的小小人需要我帮助  No, there's a tiny person on that speck that needs my help.
乱讲，根本没有那么小的人!  Absurd. There aren't people that small!
可能并不是他们小  Well, maybe they aren't small.
也许是我们比较大 霍顿  Maybe we're big. Horton.
仔细想想，要是真有人正在那上面  No, really, think about it.What if there was someone way out there
低头看着我们的世界  looking down on our world right now?
对他们来说，我们就是灰尘  And to them, we're the specks.
这时有人说  And then, maybe someone else will come along and say,
“根本没那么小的人”第一个人就说  "Oh, there can't be people that small",and the first guy would say,
“你是说我说谎？”  "Are you calling me a liar?"
另一人就说：“敢说谎就要承认”  And the second guy would say,"If the shoe fits, wear it!"
接着两个人打了起来  And now the fists are flying,and the first guy picks up a brick,
接下来的对话小孩子不大适合听  and you might want to zip up the pouch for this next part.
“死胖子，你欠揍吗？”  "All right, fat boy,you want some of this..."
霍顿! 怎样？  Horton! What?
那粒灰尘上什么都没有  There is nothing on that speck.
可是我听到了 你有吗？  But I heard. Did you?
真的？天哪  Really? Oh, my.
那为什么我什么也没听到？  Then how come I don't hear anything?
这个嘛…  Well...
看不到、听不到或感觉不到  If you can't see, hear or feel something,
那东西就绝对不存在  it doesn't exist.
还有相信那些幻想出来的小小人  And believing in tiny, imaginary people
在努尔森林这个地方  is just not something we do or tolerate,
是我们不该做，也不会容忍的事  here in the jungle of Nool.
是吗？可是我敢说只要我去试 我一定可以找到  Really? Because I bet if I really tried,I could find somebody who'd believe
愿意相信的人 你什么也不许做  what I've been saying. You will do nothing of the sort.
不准你对任何人说这无聊的谎言 特别是对小孩子  You will not breathe a word of this lie to anyone else, especially the children.
不准用这些谎言毒害他们的心灵  I do not want you poisoning their minds with this nonsense.
我们的社区可是有规范的，霍顿  Our community has standards, Horton.
如果你还想继续待下去 我劝你还是遵守规范  If you want to remain a part of it,I recommend you follow them.
祝你今天愉快  Have a nice day.
好吧，我会好好思考你说的话  All right, then,I'll take that under advisement.
十分感激你的建议  Certainly appreciate your input.
真搞不懂，我明明就有听到啊  I don't understand. I know I heard you.
声音很明显从我面前飘过去  It was as plain as the nose on my face.
对了，也许你听不到我  That's it. Maybe you can't hear me.
当然啦，你们的耳朵一定也很小 所以我要大声点  Of course! Your ears must be tiny.I need to speak up.
哈啰!  Hello!
有些动物…我想我知道有谁  Now some people out there,I think I know who,
