汽车总动员3
好了 我们开始吧  Okay. Here we go.
集中精力 速度 我就是速度  Focus. Speed. I am speed.
1个优胜者 42个失败者  One winner, forty two losers.
我会把失败者当早餐  I eat losers for breakfast.
我过去常那样说吗  Did I used to say that?
是的先生 你常说  Yes sir... you did.
当然了 你一直这样说  Yeah sure. You say that all the time.
板牙 你在这里做什么  Mater! What are you doing in here!
我不想让你觉得寂寞  Well, I didn't want you to be lonely.
谢谢 可我正在准备比赛  Well, thank you but I'm kind of preparing for a race
需要点安静  I need a little quiet.
好的 给你安静 伙计  Alright. You got it buddy.
大家好 听好了  Hey every buddy, listen up.
我最好的朋友闪电麦坤需要安静 绝对安静  My best friend Lightning McQueen need quiet. Perfect quiet.
好了 刚才到哪儿了  Okay, where was I.
比赛 真正的比赛  Racing. Real racing.
这不是比赛 甚至连周日出游都不是  Huh! That aingt racing. That wasn't even a sundae drive.
那里只比一圈 顶现在500圈  That was one lap racing is 500 of those.
所有人一圈圈地力争上游  Everybody fighting to move up lap after lap.
内外道相距咫尺从不接触  Inside outside inches apart never touching.
现在那才叫比赛  Now that's racing.
这位蓝天博士我无法反驳  Well, I can't argue with "The" Doc Hudson.
说得多对呀 多对呀  How true. How true.
闪电 准备好了吗    好了  Hey Lightning. Are you ready?    Oh yeah.
闪电准备好了  Lightning is ready.
这次是为你比的 博士  This one is for you Doc.
《赛车总动员3》  Cars 3
加油车手们  Come on stickers.
布雷特到了 加油麦坤  That is Bret coming through. Go McQueen.
闪电麦坤  Lightning McQueen.
卡尔 你的转向灯开着呢  Hey Cal, your blinkers are on.
什么 没有啊  What? No, it's not. Hey.
你的转向灯才开着呢  Your blinkers are on.
恢复得不错 卡尔  Good comeback Cal.
正在进站的是闪电麦坤  And into the pit goes lightning McQueen,
鲍比·斯威夫特和卡尔·韦瑟斯  Bobby Swift and Cal Weathers.
这三辆车看着很有意思 是不是 达雷尔  These three are fun to watch. Aren't they Darrell?
鲍勃 不好说他们在场内还是场外更有意思  You know Bob, I can't tell they have more fun on or off the track.
你又在洗车了 卡尔  You're geting the car wash too Cal...!
不 你才在洗车  No, you're getting a car wash McQueen.
现在去追上他们  Get them now.
闪电 你是怎么在与鲍比和卡尔比赛时保持专注的  Lightning, how do you keep your focus racing against Bobby and Cal?
我认为秘诀就是我们彼此尊重  I mean I think the key is we respect each other.
这些家伙的确出类拔萃  These guys are real class act.
祝贺你 茶杯蛋糕  Congratulations cupcake.
他们会付出代价的  Oh, they're gonna pay.
加油 恐龙石油车队  Go go Dinoco!
今天真是场伟大的胜利 卡尔  Great win today, Cal.
谢谢你香农 我们朝目标迈出了巨大…  Thank you Shannon, it was great move towards our.. Hey hey!
技师 进站  Guido! Pit   stop...
别再说了 真有趣  Ha ha knock it off! Real funny...
时速314公里 你的车速  Speed 196m/h. Your speed.
加油 保持下去 伙计  Come on. Keep it going buddy.
我的赞助商们今天还高兴吗  Are my sponsors happy today?
我的天 你别再赢了  Stop winning for crying out loud,
我们的减震膏不够卖了  we're running out of bumper cream to sell.
闪电麦坤  Lightning McQueen!
大特克斯 我最喜欢的对手还好吗  Hey, big Tex. How's my favorite competitor?
只要你一句话  Just say the word,
我就打电话给恐龙石油车队 让你取代他  I'll put call off the Dinoco team and replace him with you.
你知道我能听见 对吗 我就在这儿呢  You know I can hear you right? I'm right here.
再见 卡尔 下周见  Bye Cal, see you next week.
见不着了  We're not.
别这样 我在开玩笑呢  Oh come on now, I am joking.
加油 伙计  Roll it buddy.
赢了他们  And meet buddy too.
又一次超棒的结尾正在酝酿  Another great finish in the making.
麦坤和斯威夫特车头紧咬着车尾  McQueen and Swift nose   to   nose.
