守护者联盟
黑暗  Darkness.
这是第一件我记得的事  That's the first thing I remember.
又黑 又冷  It was dark,and it was cold.
我很恐惧  And I was scared.
但是  But then,
那时 我看见了月亮  then I saw the moon.
又大 又亮  It was so big and it was so bright.
好像会把这黑暗驱逐一样  It seemed to chase the darkness away.
然后真的这么发生了  And when it did,
我不再恐惧了  I wasn't scared anymore.
为什么我会在那 我又是去做什么的  Why I was there and what I was meant to do
恐怕我永远不会知道了  that I've never known.
但心底 我还是一直期待着答案  And a part of me wonders if I ever will.
您好 您好  Hello. Hello.
晚上好 女士？  Good evening,ma'am. Ma'am?
抱歉 能告诉我这是什么地方吗？  Excuse me. Can you tell me where I am?
您好？  Hello?
我的名字是 杰克·福斯特  My name is Jack Frost.
我是怎么知道的？  How do I know that?
是月亮告诉我的  The moon told me so.
这也是它唯一告诉我的事情  But that was all he ever told me.
这是很久很久以前的事情了  And that was a long,long time ago.
片名: 守护者联盟
北极 300年后
还在等饼干  Still waiting for cookies!
好  Yes!
终于好了  Finally!
我告诉过你多少次了 要敲门  How many times have I told you to knock?
什么？  What?
地球仪怎么了？  The Globe?
闪开  Shoo with your pointy heads.
为什么总是挡我的道？  Why are you always under boot?
怎么了？  What is this?
检查过轴线了吗 旋转正常？  Have you checked the axis? ls rotation balanced?
怎么会这样？  Can it be?
小精灵们  Dingle!
备战  Make preparations.
我们有敌人了  We are going to have company.
18颗门牙  Eighteen central incisors.
莫斯科 第九区 22颗门牙 18颗前磨牙  Moscow,sector 9. 22 incisors,18 premolars.
大雨将来  Heavy rain advisory.
得梅因州 我们在23枫树区得到了一个犬牙 看好  Des Moines,we've got a cuspid at 23 Maple. Head out!
等等 这是她第一颗牙  Wait! It's her first tooth.
你们这辈子见过这么可爱的侧门牙没？  Have you ever seen a more adorable lateral incisor in all of your life?
看她怎么用牙线的  Look how she flossed.
守护者们  My fellow Guardians,
我们的使命是看护整个世界的儿童  it is our job to watch over the children of the world
保护他们的安全  and keep them safe.
带来奇迹 希望和梦想  To bring wonder,hope,and dreams.
因此 我招集大家的原因只有一个  And so I have called us all here for one reason,and one reason only.
孩子们有危险了  The children are in danger.
那个我们阻止了数世纪之久的敌人  An enemy we have kept at bay for centuries
又回来了  has finally decided to strike back.
我们必须阻止他  We alone can stop him.
冷死了  It's freezing!
我的脚失去知觉了 我的脚失去知觉了  I can't feel my feet! I can't feel my feet!
饼干 蛋酒 有人要吗？  Cookies? Eggnog? Anyone?
最好是好事 诺斯  This better be good,North.
